Name,,Flags,,Cardinality,example,document,Type,Description & Constraints,,ValueSets,,,
Organization,,TU,,,,,DomainResource,"Информация об организации, ее структуре",,System,CodeSystem,Code,Display
identifier,,Σ S,  D,0..*,,,Identifier,Идентификаторы Организации,,http://terminology.hl7.org/ValueSet/organization-type,CodeSystemOrganization-type,все коды,Вид организации
,use,,,0..1,official,,code,"Определяет вид использования идентификатора (официальный, вторичный, временный, старый, обычный)
Binding:http://hl7.org/fhir/identifier-use",,https://terminology.medcore.uz/ValueSet/Subordination-group,CodeSystem Subordination group,все коды,Группа подчинения для медорганизации
,type,Σ S,,0..1,TAX,,CodeableConcept,"Определяет код типа идентификатора
Binding: IdentifierTypeCS (required)",,https://terminology.medcore.uz/ValueSet/Nomenclature-group,CodeSystem Nomenclature group,все коды,Группа номенклатуры (группировка учреждений)
,system,S,,0..1,https://terminology.medcore.uz/CodeSystemIdentifierType,,uri,Binding: IdentifierTypeCS,,https://terminology.medcore.uz/ValueSet/Organizational-service-group,Organizational Service Group,все коды,Организационно-сервисная группа
,value,Σ C,,0..1,200935935,,string,Значение идентификатора ,,https://terminology.medcore.uz/ValueSet/Type subordinate institution,Type subordinate institution,все коды,Тип подчинения для медучреждений без образования юридического лица
,,,,,,,,,,,,,
active,,Σ S,  D,0..1,true,,boolean,Активна или нет запись об организации,,https://terminology.medcore.uz/ValueSet/Organizational-structure,CodeSysOrganizationalStructure,все коды,Организационная структура медучреждения
Slicing for type.coding,,,,,,,CodeableConcept,,,https://terminology.medcore.uz/ValueSet/Organization-specialization,OrganizationSpecialization,все коды,Медицинская специализация организации
type,,Σ S,D,,,,CodeableConcept,,,https://terminology.medcore.uz/ValueSet/ Identifier Type (required),CodeSystemIdentifierType,все коды,Код типа идентификатора организации
type.coding[organizationType],,Σ S,D,0..*,"I ""Boshqaruv boyicha taqsimlanishi""",,Coding,Вид организации System: https://terminology.dhp.uz/fhir/core/CodeSystem/organization-types-uz-cs Binding: OrganizationTypeCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organization-types-uz-cs,,uri,,,,,,
,code,Σ S,D,1..1,I,,code,Binding: OrganizationTypeCS (required),,,,,
type.coding[subordinationGroup],,Σ S,D,0..1,"I_1 ""Respublika tassarufidagi muassasalari""",,Coding,Группа подчинения медорганизации System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-group-cs Binding: OrganizationalSubordiantionGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-group-cs,,uri,,,,,,
,code,Σ S,D,1..1,I_1,,code,Binding: OrganizationalSubordiantionGroupCS (required),,,,,
type.coding[nomenclatureGroup],,Σ S,D,0..1,"II_100 ""Shifoxona muassasalari""",,Coding,Определяет группу номенклатуры (группировку учреждений) System: https://terminology.dhp.uz/fhir/core/CodeSystem/nomenclature-group-cs Binding: NomenclatureGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/nomenclature-group-cs,,uri,,,,,,
,code,Σ S,D,1..1,II_100,,code,Binding: NomenclatureGroupCS (required),,,,,
type.coding[organizationalStructure],,Σ S,D,0..1,"110 ""Ixtisoslashtirilgan ilmiy-amaliy tibbiyot markazi""",,Coding,Определяет организационную структуру медучреждения System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-structure-cs Binding: OrganizationalGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-structure-cs,,uri,,,,,,
,code,Σ S,D,1..1,110,,code,Binding: OrganizationalStructureCS (required),,,,,
type.coding[organizationalServiceGroup],,Σ S,D,0..*,"III_100 ""Poliklinika bo'limi va statsionar bo'limi mavjud""",,Coding,Определяет организационно-сервисную группу медучреждения System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-service-group-cs Binding: OrganizationalServiceGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-service-group-cs,,uri,,,,,,
,code,Σ S,D,1..1,III_100,,code,Binding: OrganizationalServiceGroupCS (required),,,,,
type.coding[specialization],,Σ S,D,0..*,"145.0 ""Kattalar onkologiyasi""",,Coding,Определяет специализацию медорганизации System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-specialization-cs Binding: OrganizationalSpecializationCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-specialization-cs,,uri,,,,,,
,code,Σ S,D,1..1,145,,code,Binding: OrganizationalSpecializationCS (required),,,,,
type.coding[withoutLegalStatus],,Σ S,D,0..1,"STIR-I_30 ""Oilaviy poliklinika""",,Coding,Определяет тип медорганизаций без образования юридического лица System: https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-institution-cs Binding: OrganizationalSubordinationInstitutionCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organizational-subordination-institution-cs,,uri,,,,,,
,code,Σ S,D,1..1,STIR-I_30,,code,Binding: OrganizationalSubordinationInstitutionCS (required),,,,,
type.coding[organizationGrouping],,Σ S,D,0..1,,,Coding,Определяет тип группировки межучреждению System: https://terminology.dhp.uz/fhir/core/CodeSystem/organization-grouping-uz-cs Binding: OrganizationGroupCS (required),,,,,
,system,Σ S,D,1..1,https://terminology.dhp.uz/fhir/core/CodeSystem/organization-grouping-uz-cs,,uri,Fixed system,,,,,
,code,Σ S,D,1..1,,,code,Binding: OrganizationGroupCS (required),,,,,
name,,Σ S,D,0..1,Respublika Onkologiya Markazi,,string,Название организации FSH: insert MultilingualName(организации),,,,,
Slices for extension name,,,,0..*,,,,Перевод на разные языки (локализация),,,,,
extension:lang,,,,1..1,,,Extension,,,,,,
,url,Σ S,  D,1..1,lang,,uri,"""lang""",,,,,
,valueCode,Σ S,  D,1..1,uz,,code,,,,,,
extension:content,,Σ S,  D,1..1,,,,,,,,,
,url,Σ S,,1..1,content, ,uri,"""content""",,,,,
,valueString,Σ S,  D,1..1,Respublika onkologiya markazi,,string,"Название, используемое для организации на выбранном языке",,,,,
contact,,Σ S,  D,0..*,unknown,,ExtendedContactDetail,Официальные контактные данные организации,,,,,
partOf,,Σ ,  D,0..1,,,Reference(Organization),"Организация, частью которой является данная организация",,,,,
endpoint,,,  D,0..*,,,Reference(Endpoint),,,,,,